word_2025,count
x,3
índice,17
presentación,6
cien,9
compromisos,10
segundo,6
piso,10
transformación,54
diagnóstico,11
nación,23
dónde,3
estamos,5
eje,57
general,43
gobernanza,19
justicia,91
participación,76
ciudadana,26
desarrollo,253
bienestar,131
humanismo,20
economía,44
moral,11
trabajo,65
sustentable,55
transversal,23
igualdad,55
sustantiva,30
derechos,157
mujeres,187
innovación,44
pública,65
tecnológico,26
comunidades,82
indígenas,112
afromexicanas,55
rumbo,3
futuro,14
objetivos,19
estrategias,17
medición,5
progreso,10
indicadores,13
seguimiento,7
visión,18
largo,23
plazo,15
plan,30
anexo,6
sistema,80
planeación,22
democrática,18
resultados,12
pnd,17
guía,4
acciones,47
gobierno,100
próximos,2
años,61
estos,24
consisten,1
consolidar,25
bajo,26
modelo,40
social,133
sustentabilidad,7
documento,4
enriquecido,2
diálogo,8
consulta,16
reafirma,2
compromiso,13
pueblo,46
gobernar,2
honestidad,7
democracia,19
eficiencia,19
humanista,19
camino,4
pacífica,5
implicado,1
décadas,8
lucha,4
popular,19
enfrentando,4
autoritarismo,1
corrupción,34
régimen,4
triunfo,1
movimiento,2
político,20
encabezado,2
andrés,3
manuel,3
lópez,7
obrador,7
inició,2
cuarta,15
llamada,1
contener,1
cambios,8
promovidos,1
apoyo,23
dimensiones,1
históricas,6
trata,6
cambio,33
separar,2
poder,35
económico,59
acabando,1
captura,2
parte,19
intereses,11
privados,3
extranjeros,5
estableci,1
miento,3
democrático,8
servicio,13
interés,11
público,54
recupera,1
ndo,7
rectoría,3
estado,63
procuración,2
cambia,1
subordinación,3
exterior,18
defensa,14
firme,1
soberanía,34
descartar,1
coordinación,32
internacional,21
implica,11
principio,10
bien,11
todos,56
primero,4
pobres,6
crearon,3
programas,61
sociales,30
universales,6
sectores,41
vulnerables,11
ahora,4
constitucionales,6
duplicado,2
salarios,13
trabajadores,33
familias,29
promovido,2
consumo,14
fortalec,1
ido,1
mercado,23
interno,11
procura,2
do,3
alimentaria,18
energética,27
impulso,13
industria,25
inversión,33
estimula,2
regiones,30
genera,10
empleos,20
mientras,12
confianza,18
extranjera,6
encima,5
tendencia,5
histórica,8
hay,8
prosperidad,15
compartida,8
mundo,14
global,17
promovemos,1
relación,9
abierta,1
todas,59
naciones,5
partiendo,1
nuestra,32
vinculación,2
región,7
américa,16
norte,5
estados,23
unidos,14
canadá,2
siempre,11
defendiendo,1
poniendo,2
delante,1
dignidad,7
mexicano,36
vive,3
momento,6
clave,34
historia,11
pues,4
hoy,7
consolida,2
basado,8
éste,1
reconoce,1
crecimiento,25
ir,6
mano,8
personas,142
protección,59
nuestros,4
recursos,62
naturales,35
garantizará,3
fortalecerá,6
hará,2
rector,2
vida,67
puede,10
medirse,1
solo,45
términos,9
numéricos,1
calidad,62
persona,4
equidad,15
género,42
acceso,174
vivienda,47
adecuada,16
servicios,126
públicos,48
disfrute,3
medio,21
ambiente,17
sano,2
respeto,41
pueblos,82
afromexicanos,31
fines,2
garantizar,146
derecho,78
libre,37
expresión,3
ideas,1
creación,26
artística,15
identidad,15
individual,2
colectiva,9
cultivo,1
memoria,5
patrimonio,26
cultural,61
natural,11
proyecto,9
inspira,4
tiene,23
raíces,1
afanes,1
construir,12
integridad,7
territorial,20
soberano,6
s,65
omos,1
grandeza,2
milenaria,1
arraigada,1
prácticas,16
comunitarias,10
espíritu,2
resistencia,1
política,67
patria,8
inspiran,1
mexicanos,37
dado,5
