word_2018,count
índice,1
presentación,1
honradez,3
honestidad,3
gobierno,54
rico,2
pueblo,19
pobre,2
margen,2
ley,8
nada,3
encima,3
economía,18
bienestar,47
mercado,11
sustituye,2
estado,38
bien,10
todos,24
primero,5
pobres,5
dejar,6
atrás,2
fuera,6
puede,7
haber,4
paz,24
justicia,13
respeto,21
derecho,18
ajeno,2
migración,5
hambre,4
violencia,18
democracia,8
significa,6
poder,31
ética,9
libertad,6
confianza,8
política,30
erradicar,5
corrupción,28
dispendio,3
frivolidad,3
recuperar,5
separar,4
político,10
económico,22
cambio,13
paradigma,6
seguridad,51
i,4
reactivar,2
procuración,3
ii,2
garantizar,8
empleo,5
educación,30
salud,30
iii,2
pleno,5
derechos,36
humanos,12
iv,2
regeneración,5
instituciones,22
sociedad,20
v,2
reformular,2
combate,13
drogas,7
vi,2
emprender,2
construcción,13
vii,2
recuperación,11
dignificación,2
cárceles,2
viii,2
articular,3
pública,33
ix,2
repensar,2
reorientar,4
fuerzas,4
armadas,4
x,1
establecer,8
guardia,7
xi,1
coordinaciones,2
nacionales,13
estatales,8
regionales,11
xii,1
estrategias,6
específicas,3
participativa,8
revocación,2
mandato,9
consulta,6
popular,10
mandar,2
obedeciendo,3
exterior,8
principios,12
soluciones,4
raíz,3
igualdad,6
social,52
construir,8
desarrollo,53
sostenible,4
programas,17
programa,35
personas,22
adultas,4
mayores,10
pensión,6
discapacidad,7
becas,5
benito,8
juárez,9
jóvenes,21
construyendo,5
futuro,7
escribiendo,2
sembrando,3
vida,15
reconstrucción,4
urbano,5
vivienda,8
tandas,2
toda,11
población,33
instituto,5
cultura,12
detonar,1
crecimiento,21
mantener,4
finanzas,4
sanas,2
incrementos,3
impositivos,2
contratos,4
existentes,5
aliento,2
inversión,4
privada,5
rescate,7
energético,2
impulsar,11
reactivación,3
económica,12
interno,8
creación,14
banco,8
caminos,2
rurales,6
cobertura,7
internet,3
todo,20
proyectos,9
aeropuerto,7
internacional,12
felipe,4
ángeles,4
santa,5
lucía,5
autosuficiencia,4
alimentaria,5
campo,5
ciencia,4
tecnología,2
deporte,9
cohesión,5
orgullo,3
epílogo,1
visión,1
constitución,4
ordena,1
mexicano,4
velar,3
estabilidad,3
públicas,10
sistema,13
finan,1
ciero,1
planificar,1
conducir,1
coordinar,3
orientar,2
econo,2
mía,2
regular,5
fomentar,3
actividades,6
económicas,5
organizar,1
planeación,2
democrática,4
sarrollo,1
imprima,1
solidez,1
dinamismo,1
com,4
petitividad,1
permanencia,2
equidad,1
independencia,1
democratización,1
po,6
lítica,2
cultural,13
nación,5
propósito,12
carta,2
magna,2
faculta,1
ejecutivo,15
procedimientos,1
participación,11
criterios,1
formulación,2
instrumentación,2
control,5
evaluación,1
plan,9
pnd,1
perspectiva,3
instrumento,3
enunciar,1
problemas,2
enumerar,1
proyección,2
sexenal,4
primer,7
antecedente,1
elaborado,1
general,13
lázaro,1
cárdenas,1
plataforma,1
campaña,3
electoral,5
vez,2
inicia,1
do,5
orientación,2
lineamientos,3
constitucionales,4
mencionados,2
buscaron,1
convertir,1
práctica,5
obligación,1
presidencia,3
fin,15
dar,1
coherencia,1
continuidad,1
administración,9
ejercicio,10
presidencial,2
plasmar,2
documento,5
estructurado,1
consensuado,1
objetivos,7
propone,1
alcanzar,5
medios,5
lograrlo,2
significado,1
rector,3
podría,1
parecer,1
evidente,3
pero,15
porque,9
sucesivos,1
go,7
biernos,1
fecha,1
operado,2
concepciones,1
definiciones,1
distintas,2
contrapuestas,1
desa,1
rrollo,1
políticas,21
penúltima,1
déca,2
